iter	Passed	Remaining
0	178	178820
1	181	90530
2	182	60785
3	184	45848
4	184	36798
5	185	30740
6	186	26426
7	186	23182
8	187	20653
9	188	18633
10	188	16977
11	189	15600
12	190	14434
13	190	13440
14	191	12572
15	192	11817
16	192	11153
17	193	10558
18	194	10024
19	194	9545
20	195	9110
21	196	8717
22	196	8356
23	197	8025
24	197	7720
25	198	7439
26	199	7179
27	199	6937
28	200	6711
29	201	6500
30	201	6303
31	202	6119
32	202	5946
33	203	5783
34	204	5629
35	204	5483
36	205	5345
37	206	5215
38	206	5091
39	207	4976
40	208	4866
41	208	4760
42	209	4659
43	209	4562
44	210	4469
45	211	4380
46	211	4296
47	212	4214
48	213	4136
49	214	4066
50	214	3995
51	215	3927
52	216	3862
53	216	3798
54	217	3737
55	218	3678
56	218	3622
57	219	3567
58	220	3520
59	221	3470
60	222	3419
61	222	3371
62	223	3327
63	224	3282
64	225	3238
65	225	3194
66	226	3152
67	226	3107
68	227	3067
69	228	3029
70	228	2991
71	229	2955
72	229	2919
73	230	2885
74	231	2861
75	234	2847
76	234	2815
77	235	2784
78	236	2753
79	236	2723
80	237	2694
81	238	2665
82	238	2638
83	239	2610
84	240	2583
85	240	2558
86	241	2530
87	241	2505
88	242	2481
89	243	2457
90	243	2434
91	244	2412
92	245	2390
93	245	2368
94	246	2349
95	247	2331
96	248	2312
97	249	2300
98	250	2282
99	251	2265
100	253	2255
101	253	2234
102	254	2216
103	255	2201
104	256	2184
105	256	2166
106	257	2149
107	258	2132
108	258	2115
109	259	2098
110	260	2082
111	260	2066
112	261	2051
113	262	2039
114	263	2029
115	264	2014
116	265	2001
117	265	1987
118	266	1972
119	266	1957
120	267	1944
121	268	1930
122	268	1914
123	269	1901
124	269	1888
125	270	1875
126	270	1862
127	271	1848
128	271	1836
129	272	1824
130	273	1812
131	273	1800
132	274	1789
133	275	1777
134	275	1766
135	276	1755
136	277	1746
137	277	1735
138	278	1725
139	279	1715
140	279	1704
141	280	1694
142	281	1684
143	281	1674
144	282	1664
145	282	1654
146	283	1645
147	284	1636
148	284	1626
149	285	1617
150	286	1608
151	286	1599
152	287	1590
153	287	1581
154	288	1572
155	289	1564
156	289	1555
157	290	1547
158	290	1538
159	291	1530
160	292	1522
161	292	1515
162	293	1508
163	294	1500
164	295	1492
165	295	1485
166	296	1477
167	296	1470
168	297	1463
169	298	1455
170	298	1448
171	299	1441
172	300	1434
173	300	1427
174	301	1420
175	301	1413
176	302	1406
177	303	1400
178	303	1393
179	304	1386
180	304	1378
181	305	1372
182	305	1365
183	306	1359
184	307	1354
185	308	1349
186	309	1343
187	309	1338
188	310	1331
189	311	1325
190	311	1319
191	312	1314
192	313	1308
193	313	1303
194	314	1297
195	314	1291
196	315	1286
197	316	1280
198	316	1275
199	317	1269
200	317	1264
201	318	1258
202	319	1253
203	319	1247
204	320	1242
205	321	1237
206	321	1232
207	322	1226
208	322	1222
209	323	1217
210	324	1213
